======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__prepadeniVlasskehoDvora.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 164
  String Data Size ...... 8950
  Unique String Count ... 247
  File Size ............. 29970
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] prepadeniVlasskehoDvora_worker_6
  [1] kutnohorsko_settlements_kutnaHora_commonFolk
  [2] char_GENERIC_MAN_TOWNSMAN_05
  [3] prepadeniVlaskehoDvora_obchodnik_2
  [4] char_GENERIC_MAN_COMMONER_18
  [5] prepadeniVlasskehoDvora_attacker_ladderThree_4
  [6] kutnohorsko_enemies_prepadeniVlasskehoDvoraAttackers
  [7] char_GENERIC_MAN_SOLDIER_25
  [8] prepadeniVlasskehoDvora_civilian_10
  [9] char_GENERIC_MAN_COMMONER_17
  [10] prepadeniVlasskehoDvora_worker_4
  [11] char_GENERIC_MAN_TOWNSMAN_07
  [12] prepadeniVlasskehoDvora_ruthardka_attacker3
  [13] char_GENERIC_MAN_SOLDIER_14
  [14] prepadeniVlasskehoDvora_civilian_11
  [15] prepadeniVlasskehoDvora_citizen_7
  [16] char_GENERIC_MAN_COMMONER_25
  [17] prepadeniVlasskehoDvora_attacker_ladderThree_2
  [18] char_GENERIC_MAN_SOLDIER_18
  [19] prepadeniVlaskehoDvora_strazce_1
  [20] kutnohorsko_settlements_kutnaHora_nobility
  [21] Guards
  [22] char_GENERIC_MAN_GUARD_08
  [23] prepadeniVlasskehoDvora_attacker_gate_6
  [24] char_GENERIC_MAN_SOLDIER_38
  [25] prepadeniVlasskehoDvora_guard_courtyard_2
  [26] kutnohorsko_settlements_kutnaHora_soldiers_guards
  [27] char_GENERIC_MAN_GUARD_12
  [28] prepadeniVlasskehoDvora_guard_3
  [29] char_GENERIC_MAN_GUARD_15
  [30] prepadeniVlasskehoDvora_civilian_16
  [31] prepadeniVlasskehoDvora_ruthardka_attacker4
  [32] prepadeniVlasskehoDvora_attacker_archer_crossbow_7
  [33] char_GENERIC_MAN_SOLDIER_15
  [34] prepadeniVlasskehoDvora_ruthardka_attacker5
  [35] char_GENERIC_MAN_SOLDIER_11
  [36] prepadeniVlasskehoDvora_attacker_backup_9
  [37] char_GENERIC_MAN_SOLDIER_13
  [38] prepadeniVlasskehoDvora_csaba
  [39] char_CSABA_MOLNAR
  [40] prepadeniVlasskehoDvora_attacker_backup_5
  [41] char_GENERIC_MAN_SOLDIER_24
  [42] prepadeniVlasskehoDvora_guard_courtyard_4
  [43] char_GENERIC_MAN_GUARD_16
  [44] prepadeniVlasskehoDvora_civilian_5
  [45] prepadeniVlasskehoDvora_civilian_1
  [46] prepadeniVlasskehoDvora_citizen_3
  [47] prepadeniVlasskehoDvora_ruthardka_horse5
  [48] kutnohorsko_settlements_kutnaHora_commonFolk_peasants_radnicni_parcel14_bodyguards
  [49] prepadeniVlasskehoDvora_attacker_gate_2
  [50] char_GENERIC_MAN_SOLDIER_20
  [51] prepadeniVlasskehoDvora_attacker_ladderTwo_3
  [52] char_GENERIC_MAN_SOLDIER_31
  [53] prepadeniVlasskehoDvora_attacker_backup_3
  [54] prepadeniVlasskehoDvora_attacker_gate_4
  [55] prepadeniVlasskehoDvora_guard_courtyard_12
  [56] char_GENERIC_MAN_GUARD_05
  [57] prepadeniVlasskehoDvora_attacker_gate_9
  [58] prepadeniVlasskehoDvora_annaNaked
  [59] kutnohorsko_settlements_kutnaHora_commonFolk_peasants_vlasska
  [60] char_KUCHARKA_ANNA
  [61] prepadeniVlasskehoDvora_attacker_backup_6
  [62] char_GENERIC_MAN_SOLDIER_07
  [63] prepadeniVlasskehoDvora_worker_7
  [64] prepadeniVlasskehoDvora_citizen_16
  [65] char_GENERIC_MAN_COMMONER_21
  [66] prepadeniVlasskehoDvora_citizen_14
  [67] char_GENERIC_MAN_COMMONER_04
  [68] prepadeniVlasskehoDvora_guard_4
  [69] prepadeniVlasskehoDvora_attacker_backup_1
  [70] char_GENERIC_MAN_SOLDIER_33
  [71] prepadeniVlasskehoDvora_civilian_3
  [72] prepadeniVlasskehoDvora_civilian_15
  [73] prepadeniVlasskehoDvora_cin_annaNaked
  [74] cutsceneOnly
  [75] char_GENERIC_WOMAN_COMMONER_04
  [76] prepadeniVlasskehoDvora_guard_courtyard_7
