======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__setkaniVRatbori1.tbl
======================================================================
Header:
  File Format Version ... 3
  Descriptors Hash ...... 2656347562
  Layout Hash ........... 3826342426
  Table Version ......... 2
  Line Count ............ 94
  String Data Size ...... 4960
  Unique String Count ... 157
  File Size ............. 17020
  Calculated Line Size .. 128 (rem. 0)
String Table:
  [0] setkaniVRatbori1_ratiborMaid3
  [1] kutnohorsko_settlements_ratboricko_commonFolk_peasants_fortress
  [2] char_GENERIC_WOMAN_COMMONER_02
  [3] setkaniVRatbori1_ratiborNoble2
  [4] kutnohorsko_settlements_ratboricko_nobility_nobleman
  [5] char_GENERIC_MAN_NOBLEMAN_07
  [6] setkaniVRatbori1_cs_commander
  [7] cutsceneOnly
  [8] char_GENERIC_MAN_COMMONER_24
  [9] setkaniVRatbori1_ratiborGuard21
  [10] kutnohorsko_settlements_ratboricko_soldiers_guards
  [11] Guards
  [12] char_GENERIC_MAN_GUARD_12
  [13] setkaniVRatbori1_ratiborGuard15
  [14] char_GENERIC_MAN_GUARD_08
  [15] setkaniVRatbori1_frantaKudlanu
  [16] kutnohorsko_settlements_kutnaHora_commonFolk_tavernPlatnerska
  [17] char_FRANTA_KULDANU
  [18] setkaniVRatbori1_ratiborMaid5
  [19] char_SLUZEBNA_DASA
  [20] setkaniVRatbori1_tempRatiborRetinueHorse
  [21] setkaniVRatbori1_tempRatiborRetinue7
  [22] char_GENERIC_MAN_SOLDIER_14
  [23] setkaniVRatbori1_ratiborGuard23
  [24] char_GENERIC_MAN_GUARD_14
  [25] setkaniVRatbori1_ratiborMaid2
  [26] char_SLUZEBNA_ELISKA
  [27] setkaniVRatbori1_tempRatiborRetinue4
  [28] char_GENERIC_MAN_SOLDIER_17
  [29] setkaniVRatbori1_tempRatiborRetinue6
  [30] char_GENERIC_MAN_SOLDIER_16
  [31] setkaniVRatbori1_ratiborGuard10
  [32] char_GENERIC_MAN_GUARD_13
  [33] setkaniVRatbori1_tempRatiborRetinueHorse3
  [34] setkaniVRatbori1_ratiborGuard20
  [35] setkaniVRatbori1_ratiborMaid4
  [36] char_GENERIC_WOMAN_COMMONER_07
  [37] setkaniVRatbori1_ratiborGuard26
  [38] char_GENERIC_MAN_GUARD_03
  [39] setkaniVRatbori1_tempRatiborRetinue3
  [40] char_GENERIC_MAN_SOLDIER_03
  [41] setkaniVRatbori1_tempRatiborRetinueHorse10
  [42] setkaniVRatbori1_ratiborGuard18
  [43] char_GENERIC_MAN_GUARD_16
  [44] setkaniVRatbori1_horse4
  [45] setkaniVRatbori1_bohuta_horse
  [46] setkaniVRatbori1_Dog1
  [47] animal_home
  [48] char_PES
  [49] setkaniVRatbori1_ratiborGuard7
  [50] setkaniVRatbori1_ratiborNoble4
  [51] char_GENERIC_MAN_NOBLEMAN_08
  [52] setkaniVRatbori1_tempRatiborRetinueHorse6
  [53] setkaniVRatbori1_tempRatiborRetinueHorse9
  [54] setkaniVRatbori1_tempRatiborRetinueHorse8
  [55] setkaniVRatbori1_zikmundGuard1
  [56] kutnohorsko_settlements_zikmundovo_soldiers_magyars
  [57] setkaniVRatbori1_townHallMaid
  [58] kutnohorsko_settlements_kutnaHora_commonFolk_peasants_radnicni_parcel16
  [59] char_GENERIC_WOMAN_COMMONER_08
  [60] setkaniVRatbori1_cs_elite2
  [61] char_GENERIC_MAN_COMMONER_01
  [62] setkaniVRatbori1_ratiborNoble14
  [63] char_GENERIC_MAN_NOBLEMAN_05
  [64] setkaniVRatbori1_horse1
  [65] players_friends_bohuta
  [66] setkaniVRatbori1_ratiborGuard1
  [67] char_GENERIC_MAN_GUARD_02
  [68] setkaniVRatbori1_ratiborNoble5
  [69] char_GENERIC_MAN_NOBLEMAN_02
  [70] setkaniVRatbori1_tempRatiborRetinue5
  [71] char_GENERIC_MAN_SOLDIER_08
  [72] setkaniVRatbori1_hanus_horse
  [73] setkaniVRatbori1_ratiborGuard4
  [74] char_GENERIC_MAN_GUARD_05
  [75] setkaniVRatbori1_horse7
  [76] setkaniVRatbori1_tempRatiborRetinueHorse4
  [77] setkaniVRatbori1_ratiborNoble7
  [78] char_GENERIC_MAN_NOBLEMAN_06
  [79] setkaniVRatbori1_ratiborVarlet1
  [80] char_GENERIC_MAN_COMMONER_06
  [81] setkaniVRatbori1_ratiborGuard22
  [82] char_GENERIC_MAN_GUARD_15
